Vegetable Pulao, Paneer Tikka, Butter Naan
Veg Manchurian, Dal Tadka, Aloo Gobi Masala
Palak Paneer, Veg Biryani, Butter Naan
Chicken Biryani, Tandoori Chicken
Butter Chicken, Garlic Naan
Chicken Tikka Masala, Veg Pizza
Fish Fry, Prawn Masala
Mutton Biryani, Lamb Rogan Josh
Goan Fish Curry, Butter Naan
Paneer Butter Masala, Veg Pizza
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Rava Dosa, Poori (2 Pieces), Veg Fried Rice
Mini Tiffin, Paneer Dosa, Set Dosa
Ragi Dosa, Podi Idli (2 Pieces), Bisibelabath
Ghee Roast Dosa, Veg Pulao
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut
Cinnamon Apple Doughnut, Strawberry Shortcake Doughnut, Blueberry Cake Doughnut
Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Veggie Delight Salad,Southwest Black Bean Salad,Greek Salad,Potato Chips,Cookies (Chocolate Chip)
Apple Slices,Veggie Patty,Paneer Tikka,Tandoori Chicken,Roast Beef
Meatball Marinara,Chicken Teriyaki,Egg Salad,Turkey Breast,Veggie Delight Wrap
Veggie Delight,Italian B.M.T.,Subway Club,Spicy Veggie,BBQ Tofu
Veggie Delight Salad,Southwest Black Bean Salad,Greek Salad,Potato Chips,Cookies (Chocolate Chip)
Apple Slices,Veggie Patty,Paneer Tikka,Tandoori Chicken,Roast Beef
Meatball Marinara,Chicken Teriyaki,Egg Salad,Turkey Breast,Veggie Delight Wrap
Veggie Delight,Italian B.M.T.,Subway Club,Spicy Veggie,BBQ Tofu
Veggie Delight Salad,Southwest Black Bean Salad,Greek Salad,Potato Chips,Cookies (Chocolate Chip)
Apple Slices,Veggie Patty,Paneer Tikka,Tandoori Chicken,Roast Beef
Meatball Marinara,Chicken Teriyaki,Egg Salad,Turkey Breast,Veggie Delight Wrap
Veggie Delight,Italian B.M.T.,Subway Club,Spicy Veggie,BBQ Tofu
Veggie Delight Salad,Southwest Black Bean Salad,Greek Salad,Potato Chips,Cookies (Chocolate Chip)
Apple Slices,Veggie Patty,Paneer Tikka,Tandoori Chicken,Roast Beef
Meatball Marinara,Chicken Teriyaki,Egg Salad,Turkey Breast,Veggie Delight Wrap
Veggie Delight,Italian B.M.T.,Subway Club,Spicy Veggie,BBQ Tofu
Veggie Delight Salad,Southwest Black Bean Salad,Greek Salad,Potato Chips,Cookies (Chocolate Chip)
Apple Slices,Veggie Patty,Paneer Tikka,Tandoori Chicken,Roast Beef
Meatball Marinara,Chicken Teriyaki,Egg Salad,Turkey Breast,Veggie Delight Wrap
Veggie Delight,Italian B.M.T.,Subway Club,Spicy Veggie,BBQ Tofu
Veggie Delight Salad,Southwest Black Bean Salad,Greek Salad,Potato Chips,Cookies (Chocolate Chip)
Apple Slices,Veggie Patty,Paneer Tikka,Tandoori Chicken,Roast Beef
Meatball Marinara,Chicken Teriyaki,Egg Salad,Turkey Breast,Veggie Delight Wrap
Veggie Delight,Italian B.M.T.,Subway Club,Spicy Veggie,BBQ Tofu
Veggie Delight Salad,Southwest Black Bean Salad,Greek Salad,Potato Chips,Cookies (Chocolate Chip)
Apple Slices,Veggie Patty,Paneer Tikka,Tandoori Chicken,Roast Beef
Meatball Marinara,Chicken Teriyaki,Egg Salad,Turkey Breast,Veggie Delight Wrap
Pad Thai Noodles,Chicken Satay
Chicken Fried Rice,Chicken Fried Rice,Chicken Fried Rice,Mutton Biryani
Apple Pie,Apple Pie,Classic Chicken Sandwich,Classic Chicken Sandwich
Vegetable Spring Onion Pancake,Vegetable Spring Onion Pancake,Chicken Teriyaki,Chicken Teriyaki,Vegetable Spring Rolls
Veg Biryani,Veg Biryani
Margherita Pizza (Regular),Margherita Pizza (Regular)
Butter Chicken,Butter Chicken
Margherita Pizza (Regular)
Margherita Pizza (Regular),Margherita Pizza (Regular)
Chicken Biryani,Chicken Biryani
Margherita Pizza (Regular)
Vegetable Spring Rolls
Vegetable Spring Rolls
Vegetable Spring Rolls,Vegetable Spring Rolls
Mutton Rogan Josh,Mutton Rogan Josh
Chicken Satay,Chicken Satay
Vanilla Ice Cream Scoop
Vegetable Spring Rolls
Margherita Pizza (Regular)
Vegetable Spring Rolls
Paneer Tikka Pizza (Regular),Paneer Tikka Pizza (Regular)
Crispy Corn,Crispy Corn,Crispy Corn,Crispy Corn
Vegetable Spring Rolls
Butter Chicken,Butter Chicken
Margherita Pizza (Regular)
Americano
Espresso
Egg Biryani,Egg Biryani
Margherita Pizza (Regular)
Spicy Chicken Sandwich,Spicy Chicken Sandwich,Spicy Chicken Sandwich
Cajun Fish Combo,Cajun Fish Combo
Paneer Tikka Masala,Paneer Tikka Masala
Egg Biryani,Egg Biryani
Farmhouse Pizza (Regular),Farmhouse Pizza (Regular),Farmhouse Pizza (Regular)
Farmhouse Pizza (Regular)
Paneer Tikka Pizza (Regular)
Margherita Pizza (Regular)
Paneer Overloaded Pizza (Regular),Paneer Overloaded Pizza (Regular)
Espresso,Espresso
Margherita Pizza (Regular)
Margherita Pizza (Regular)
Whopper Burger,Whopper Burger
Veggie Supreme Pizza (Regular),Veggie Supreme Pizza (Regular),Veggie Supreme Pizza (Regular),Veggie Supreme Pizza (Regular),Veggie Supreme Pizza (Regular)
Butter Chicken,Butter Chicken,Butter Chicken
Dal Makhani,Dal Makhani,Dal Makhani,Dal Makhani,Dal Makhani,Dal Makhani,Dal Makhani,Dal Makhani,Dal Makhani,Dal Makhani
Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar,Idli Sambhar
Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani,Mutton Biryani
Egg Kothu Parotta,Egg Kothu Parotta,Egg Kothu Parotta,Egg Kothu Parotta,Egg Kothu Parotta,Parotta,Parotta,Parotta,Parotta,Parotta
Egg Kothu Parotta,Egg Kothu Parotta
Egg Kothu Parotta,Egg Kothu Parotta,Egg Kothu Parotta,Idiyappam
Chocolate Custard Filled Doughnut,Chocolate Custard Filled Doughnut,Chocolate Custard Filled Doughnut,Chocolate Custard Filled Doughnut,Chocolate Custard Filled Doughnut,Kreme Filled Doughnut,Kreme Filled Doughnut,Kreme Filled Doughnut
Apple Cinnamon Filled Doughnut,Apple Cinnamon Filled Doughnut,Apple Cinnamon Filled Doughnut,Apple Cinnamon Filled Doughnut,Chocolate Custard Filled Doughnut,Chocolate Custard Filled Doughnut,Chocolate Custard Filled Doughnut,Chocolate Custard Filled Doughnut
Caramel Glazed Doughnut,Caramel Glazed Doughnut,Caramel Glazed Doughnut
Mutton Biryani,Mutton Biryani
Apple Cinnamon Filled Doughnut,Apple Cinnamon Filled Doughnut,Apple Cinnamon Filled Doughnut,Chocolate Custard Filled Doughnut,Chocolate Custard Filled Doughnut
Bubblegum Ice Cream Scoop,Bubblegum Ice Cream Scoop
Chocolate Iced with Sprinkles Doughnut,Chocolate Iced with Sprinkles Doughnut,Chocolate Iced with Sprinkles Doughnut,Classic Original Filled Doughnut,Classic Original Filled Doughnut,Classic Original Filled Doughnut,Classic Original Filled Doughnut
